0,1,2,3
[00:00] hello everyone welcome back so in this,,,
[00:03] project we're going to build AI powered,,,
[00:05] water tracking app using fast API Lang,,,
[00:08] chain and streamlet so the goal was to,,,
[00:11] help users track their daily water,,,
[00:13] intake while getting intelligent,,,
[00:15] feedback from AI assistant so in this,,,
[00:18] project uh we're going to build a back,,,
[00:20] end with a fast API that logs water,,,
[00:23] intake and stores it in a sqlite,,,
[00:26] database so then we have integrated that,,,
[00:29] with the B chain uh that is an open AI,,,
[00:32] to generate a personalized hydration,,,
[00:34] feedback based on how much water the,,,
[00:36] user has consumed so to make it user,,,
[00:39] friendly so we have designed a clean,,,
[00:41] streamlit dashboard where users can log,,,
[00:44] their intake view of their history and,,,
[00:46] even see the visual charts as well so,,,
[00:48] let's start building this,,,
[00:51] project all right so let's start,,,
[00:52] building our project so first step let's,,,
[00:54] go and create empty folder for this,,,
[00:57] project I'll go here let me just go and,,,
[01:00] create and name this folder as uh,,,
[01:06] uron uh water,,,
[01:14] intake uh uron water tracker,,,
[01:18] okay uron water,,,
[01:24] tracker all right so let me just get,,,
[01:27] into this particular folder and right,,,
[01:29] now it's completely blank okay so in,,,
[01:31] this project I'll be using AA uh to,,,
[01:34] create an environments so in case if you,,,
[01:36] don't have K just go and install it from,,,
[01:38] the Chrome uh uh you need to install uh,,,
[01:41] anakonda Navigator so if you install,,,
[01:44] anakonda Navigator so once you're done,,,
[01:46] with anakonda installation you can just,,,
[01:48] go and search your anakonda prompt and,,,
[01:50] from here you can just uh create an,,,
[01:51] environments right so in case if you are,,,
[01:54] not familiar with anakonda and just use,,,
[01:56] uh python VV module to create an,,,
[01:58] environments,,,
[02:00] so if you're following along so I'll be,,,
[02:02] using a k to create an environment so,,,
[02:04] right now the the folder is blank let me,,,
[02:06] just go and open the vs code in the same,,,
[02:09] folder uh so to do that let me just open,,,
[02:12] the,,,
[02:14] anakonda anakonda,,,
[02:20] prompt and let me just copy this path,,,
[02:23] over,,,
[02:24] here and let's do CD into,,,
[02:27] this and type code code dot so codee dot,,,
[02:32] basically opens,,,
[02:34] the uh vs code uh in the same folder let,,,
[02:38] me just expand,,,
[02:45] that all right so here so I have just,,,
[02:48] opened the vs code in the same folder in,,,
[02:50] the uron water tracker so let me just go,,,
[02:53] to terminal and click on new,,,
[02:56] terminal and here let me just open the,,,
[02:59] command prompt okay so right now I'm,,,
[03:01] inside the base environment so let's,,,
[03:03] create an environment to create,,,
[03:04] environment I'll type K,,,
[03:06] create K create hyphen hyphen name and,,,
[03:11] the name of the environment I'll just,,,
[03:12] give uh euron,,,
[03:16] AI tracker your on water,,,
[03:24] tracker you're on order tracker and here,,,
[03:28] let me just give the python version so,,,
[03:30] I'll be using 3.10 for this project and,,,
[03:43] enter and let me just give i,,,
[03:58] s all right so now the next step let's,,,
[04:01] activate this environment so right now,,,
[04:03] I'm in the base environment to activate,,,
[04:05] I'll just type here K,,,
[04:07] activate and the environment name okay,,,
[04:10] the environment name I have given,,,
[04:12] as uh,,,
[04:17] uron you're on uh water,,,
[04:21] tracker and do,,,
[04:26] enter all right so the next step uh let,,,
[04:29] me just uh add a very important file,,,
[04:33] that isv which help us to store the open,,,
[04:36] API keys so let me just type here do,,,
[04:40] EnV and inside the EnV let me just paste,,,
[04:45] the open API,,,
[04:49] key I have the open API key let me just,,,
[04:51] paste,,,
[04:54] that and before that so even I need a,,,
[04:57] database URL uh will be be uh storing a,,,
[05:01] data inside the database as well right,,,
[05:04] so we'll have the two keys one is the,,,
[05:06] database URL so this will be my database,,,
[05:10] URL that is SQL,,,
[05:15] light so this is a default one okay uh,,,
[05:19] SQL light and the database URL I'll just,,,
[05:22] give as water tracker DB water,,,
[05:26] tracker.,,,
[05:28] DB water tracker. TP and let me just,,,
[05:31] paste this your uh open API key over,,,
[05:37] here okay so inside this EnV so we have,,,
[05:40] two uh information one is the open API,,,
[05:43] key and the next is the database URL,,,
[05:45] which is sqlite water tracker DB okay,,,
[05:48] let me just copy and paste this and save,,,
[05:50] all right so next is uh requirements.txt,,,
[05:53] uh to install the dependencies for our,,,
[05:56] Pro uh project req,,,
[05:58] [Music],,,
[06:00] Ur r i m n TS,,,
[06:08] requirements.txt,,,
[06:12] okay so I have the list of environments,,,
[06:15] let me just copy and paste,,,
[06:28] it right and let's install this,,,
[06:32] dependencies so make sure to just do the,,,
[06:34] save contrl s okay to install these,,,
[06:38] dependencies we need to type pip install,,,
[06:40] hyphen R so pip uh,,,
[06:44] install hyphen,,,
[06:49] R,,,
[06:50] requirements.txt and do,,,
[06:58] enter e,,,
[07:30] so it's installing all the dependencies,,,
[07:32] so let's wait,,,
[08:26] so make sure installs dependencies in,,,
[08:28] the uh n,,,
[08:58] okay for,,,
[09:37] so it will take few,,,
[09:41] minutes all right so this is done so the,,,
[09:43] next step let's create a folder and here,,,
[09:47] I'll just create a folder called SRC,,,
[09:48] where I'll keep all my code files so,,,
[09:51] inside the SRC the first uh the script,,,
[09:53] we're going to write is for the logging,,,
[09:55] okay so I'll type here,,,
[09:57] logger Dot,,,
[10:01] py okay let me just set up the loging so,,,
[10:07] import import,,,
[10:10] loging and here let me just type,,,
[10:16] loging uh,,,
[10:21] loging,,,
[10:22] dot basic,,,
[10:25] config basic config,,,
[10:31] uh basic config and here I need to,,,
[10:33] provide the file,,,
[10:36] name uh file name I'll just give as app.,,,
[10:42] log uh next I need to provide the level,,,
[10:46] and the level will be,,,
[10:49] loging,,,
[10:51] doino loging do info so next the,,,
[10:56] format uh here the format will b c,,,
[11:03] percentage or we'll have the,,,
[11:06] time ask it time,,,
[11:09] string and,,,
[11:11] percentage will have the level,,,
[11:14] name level name,,,
[11:35] uh okay ask itm hyphen level,,,
[11:48] name and percentage,,,
[11:52] message okay so this will be our uh,,,
[11:55] format uh to add the logs within the,,,
[11:58] app.py,,,
[12:00] uh next let's define the method so DF,,,
[12:04] log message,,,
[12:07] logor message and this method will take,,,
[12:11] a,,,
[12:12] message and just log that information,,,
[12:15] that is,,,
[12:17] logging loging,,,
[12:21] doino logging do info and the message,,,
[12:25] will be,,,
[12:26] loged okay similarly let's even add one,,,
[12:28] more method for for the error so log,,,
[12:33] error log error so it will take the,,,
[12:36] error here and uh we'll add the,,,
[12:40] logging do,,,
[12:43] error and we're going to pass the error,,,
[12:45] over,,,
[12:49] here e r r o r all right so this is uh,,,
[12:53] the logging script okay so where we are,,,
[12:55] just uh setting up the logging process,,,
[12:58] for a project so it's a basic config and,,,
[13:00] the file name will be app. log and the,,,
[13:02] level is logging doino this is what the,,,
[13:04] format so once we start running the,,,
[13:06] project this is uh the log information,,,
[13:08] will be logged inside the app. uh log so,,,
[13:11] this is the two methods we have defined,,,
[13:13] one is the log message and the log error,,,
[13:15] all right so next let me just create one,,,
[13:17] more script I'll just name this script,,,
[13:19] as,,,
[13:21] agent. py,,,
[13:30] agent. py let me,,,
[13:38] just all right so next is agent. py okay,,,
[13:41] so let me just Define,,,
[13:45] this uh here so first let me just write,,,
[13:49] import,,,
[13:50] OS and from Lang,,,
[13:55] chain from Lang chain open AI,,,
[13:59] uh,,,
[14:01] import uh chat C's Capital uh open,,,
[14:07] AI uh then from Lang,,,
[14:13] chain from the Lang chain.,,,
[14:18] schema schema uh,,,
[14:21] import human,,,
[14:25] message human message and,,,
[14:29] from uh,,,
[14:31] dot,,,
[14:33] EnV uh,,,
[14:35] import load. EnV over here okay so here,,,
[14:39] what we're doing so we're importing all,,,
[14:41] the necessary uh components here right,,,
[14:43] so first we are importing OS which,,,
[14:46] basically help us to access the,,,
[14:48] environment variables so then we're,,,
[14:50] importing the chat open a which is a,,,
[14:52] lang chain wrapper for the open AI GPD,,,
[14:54] model next we have the message or human,,,
[14:57] message which is used to structure the,,,
[14:59] the prompts or the messages to the last,,,
[15:01] language model and finally we have the,,,
[15:04] uh load. EnV which basically help us to,,,
[15:07] load the environment variable which are,,,
[15:08] kept inside the EnV here okay next step,,,
[15:12] is to load that API key uh so for that,,,
[15:15] we need to first uh initialize that is,,,
[15:18] load.,,,
[15:20] EnV and here let's create a variable,,,
[15:23] called open,,,
[15:26] AI API key so this will uh so I'll be,,,
[15:31] storing this from OS,,,
[15:33] do uh,,,
[15:36] getv get EnV and let me just get that,,,
[15:39] from the EnV file so and the name of the,,,
[15:42] variable is,,,
[15:43] open uh AI open AI API so this is what,,,
[15:48] the name we have set inside,,,
[15:50] Dov all right okay so next step uh is to,,,
[15:53] initialize the large language model so,,,
[15:56] let me just create a llm and here let,,,
[15:59] just call this chat open AI uh so where,,,
[16:01] I need to pass three things okay one is,,,
[16:03] the API key so I'll just call this as,,,
[16:06] API key uh what is API key it's open or,,,
[16:10] uh API key and then next try to pass the,,,
[16:13] model so model is I'll be using GPT 4,,,
[16:17] GPT,,,
[16:19] 4 uh next is,,,
[16:25] temperature temperature and the,,,
[16:27] temperature I set to5 five okay so this,,,
[16:29] is just a Randomness so next let me just,,,
[16:32] Define uh a class,,,
[16:35] here so now let's define uh water intake,,,
[16:39] uh agent okay so water intake class okay,,,
[16:42] so which will basically keep track of,,,
[16:43] that uh so let me just write on so,,,
[16:47] class I'll name this class as,,,
[16:55] water as water intake,,,
[17:01] water intake,,,
[17:06] agent okay so this class basically help,,,
[17:09] us to track and suggest the daily water,,,
[17:11] intake okay so the main core will add,,,
[17:13] inside this particular class so here let,,,
[17:16] me just Define The Constructor so DF,,,
[17:18] uncore uncore netcore uncore and here,,,
[17:21] let me just pass the,,,
[17:23] self uh so self.,,,
[17:27] history I'll explain okay once I type,,,
[17:29] I'll explain so history h s t o r y,,,
[17:34] history all right and let me just Define,,,
[17:37] one more method I'll just name this,,,
[17:39] method as,,,
[17:44] analyze analyze,,,
[17:46] intake analyze intake so it will take,,,
[17:49] the self and uh intake,,,
[17:53] ml intake uh,,,
[17:56] ML and here I need to provide a,,,
[18:06] prompt here I'll providing the,,,
[18:11] prompt uh let me just write down the,,,
[18:13] prompt here so,,,
[18:15] you are a,,,
[18:17] hydration Hy d a d hydration,,,
[18:24] assistant hide in assistant the user has,,,
[18:30] consumed uh,,,
[18:32] consumed uh here I'll take that intake,,,
[18:36] ml user has consumed this many mL of,,,
[18:41] water,,,
[18:44] today,,,
[18:46] provide uh,,,
[18:49] hydration status and,,,
[18:55] suggest status and S,,,
[18:59] just uh if they need to,,,
[19:03] drink uh more,,,
[19:06] water all right so this will be my,,,
[19:08] prompt and let me just close,,,
[19:10] this and so I'll be getting a response,,,
[19:13] from the llm RB,,,
[19:17] n uh response and I'll be getting that,,,
[19:20] from llm do,,,
[19:24] invoke uh here I'll be invoking that,,,
[19:27] prompt right so here here I'll be using,,,
[19:29] this uh human message and here I need to,,,
[19:32] pass the,,,
[19:34] content and that content is nothing but,,,
[19:37] a,,,
[19:39] prompt okay and finally I'm going to,,,
[19:42] return the,,,
[19:50] response uh return the,,,
[19:53] response.,,,
[19:57] content fine so here uh so uh let's test,,,
[20:01] this okay so let me just test this like,,,
[20:06] if uh underscore uncore name underscore,,,
[20:09] uncore is equal to equal to underscore,,,
[20:14] uncore maincore underscore and here I,,,
[20:17] need to pass the I need to First Call,,,
[20:20] that that is water intake water intake,,,
[20:23] agent and here uh let me just pass the,,,
[20:27] parameters like I need to pass the,,,
[20:28] intake over here uh intake intake I'll,,,
[20:32] pass 500,,,
[20:34] mL uh or,,,
[20:37] 1,500 and next I to pass the,,
[20:42] feedback uh so here uh basically I'll be,,,
[20:44] getting a feedback from the uh agent,,,
[20:46] after calling that analyze intake method,,,
[20:49] right so this is what we need to pass,,,
[20:51] okay intake,,,
[20:54] ml uh so here uh feedback I'll be,,,
[20:58] getting of after invoking this response,,,
[21:01] so I'll just call that agent do analyze,,,
[21:05] intake and I'll just pass that,,,
[21:08] intake intake over,,,
[21:13] here okay and uh so let me just print,,,
[21:16] that okay so,,,
[21:19] print uh,,,
[21:21] hydration hydration,,,
[21:25] analyze and here I'll be just pass the,,,
[21:29] uh,,,
[21:32] feedback okay and save this fine let me,,,
[21:35] just test this script okay if everything,,,
[21:37] is working,,,
[21:46] fine so here if I just do,,,
[21:50] python uh agent.,,,
[21:56] py yeah it's inside this SCE right so,,,
[21:59] I'll just type here python SRC,,,
[22:02] SL agent.,,,
[22:08] py okay,,,
[22:11] no blank chain we have installed,,,
[22:21] it line chain,,,
[22:28] no mod deal so what we have here so Lang,,,
[22:31] chain open AI Lang,,,
[22:34] chain score open AI import CH this is,,,
[22:39] [Music],,,
[22:41] correct okay let's try to install this,,,
[22:44] we need to install this open here just a,,,
[22:46] second,,,
[22:58] [Music],,,
[23:10] let's install this uh pip,,,
[23:18] install uh pip install Lang,,,
[23:26] chain and L chin,,,
[23:47] all right so now let's rerun this,,,
[24:02] yeah so you can see I got an hydration,,,
[24:04] analysis uh so it's telling that uh your,,,
[24:07] current hydration status is uh moderate,,,
[24:11] correct it's a moderate uh because the,,,
[24:13] input have given as 1,500,,
[24:17] ml so your current hydration status is,,,
[24:19] moded the recommended daily water intake,,,
[24:21] is about 2,00 to 2,500 ml for women and,
[24:26] 2,500 to 3,00 uh 3,700 ml for men okay
[24:30] so based on current consumption you,,,
[24:32] should drink more water to meet the,,,
[24:33] recommended daily intake fine so now,,,
[24:36] let's try to log this uh sorry uh uh,,,
[24:39] we'll store this water intake uh so if I,,,
[24:42] just go and check in log is not created,,,
[24:44] okay so even we can just store this,,,
[24:46] information inside our SQL light okay,,,
[24:48] for the data storage so let me just go,,,
[24:50] and create a script called database. py,,,
[24:53] uh so let me just do that so here inside,,,
[24:57] the,,,
[24:59] SRC let me just create a new file I'll,,,
[25:02] just name this file as,,,
[25:05] database dot,,,
[25:14] py okay so here first let me,,,
[25:18] import uh SQL light,,,
[25:28] sqlite 3 okay and uh even let's import,,,
[25:32] date time so from uh date,,,
[25:36] time uh,,,
[25:39] import uh,,,
[25:41] import or date time okay and let's give,,,
[25:45] the DB name uh so database name I'll,,,
[25:49] just name the database name as water,,,
[25:52] inch DB even that's also defined inside,,,
[25:54] the EnV file right so I'll name this as,,,
[25:57] water tracker water,,,
[26:00] tracker do,,,
[26:02] DB all right so now let's define the,,,
[26:05] different methods okay first to create,,,
[26:07] tables then uh we'll create a a file to,,,
[26:11] uh then we'll create a method to log the,,,
[26:13] intake then get the intake history as,,,
[26:16] well okay let's try to do,,,
[26:24] that so let me just Define,,,
[26:29] uh create,,,
[26:33] table just,,,
[26:47] a uh so create tables and here let me,,,
[26:51] just Define the all the connection,,,
[26:53] parameter so first is I need to set up,,,
[26:56] the connection that is uh seq light I'll,,,
[26:59] just call that sqlite 3 and click on and,,,
[27:02] do hit sorry do connect and I want to,,,
[27:05] connect to the DB name okay this is the,,,
[27:07] database I want to connect it so once we,,,
[27:09] create a,,,
[27:11] database uh so let's set up the,,,
[27:16] cursor set up the cursor and the cursor,,,
[27:19] will point so cursor is basically a,,,
[27:21] pointer so let me just take that,,,
[27:22] connection and create a cursor object,,,
[27:25] okay cursor fine so first let me just uh,,,
[27:29] create a table so here so cursor.,,,
[27:32] execute cursor. execute and let me just,,,
[27:35] give,,,
[27:37] that uh create table command that is let,,,
[27:41] me just close,,,
[27:43] this,,,
[27:48] execute uh create table see R create uh,,,
[27:53] table uh if not exist,,,
[28:01] mod exist I'll create a table called,,,
[28:03] water,,,
[28:05] intake water intake and here it,,,
[28:10] will uh,,,
[28:12] take uh four columns so first is the,,,
[28:19] ID of the type,,,
[28:22] integer of the type integer and even,,,
[28:25] let's set this to a primary key,,,
[28:28] with auto,,,
[28:36] increment Auto increment okay so next is,,,
[28:38] the user,,,
[28:45] ID and of the type uh,,,
[28:49] text uh next let's take the intake ml,,,
[28:53] intake uncore mL of the type integer,,,
[28:59] and one last is the date okay so date,,,
[29:02] will be of text fine date time also you,,,
[29:04] can take it okay fine let me just save,,,
[29:07] this okay so this is just for creation,,,
[29:09] of table and finally we need to commit,,,
[29:11] this that is uh so CNN connection do,,,
[29:16] commit okay and even we need to close,,,
[29:18] this connection do,,,
[29:23] close Dot,,,
[29:25] close all right so the next next uh let,,,
[29:29] me just take the log intake,,,
[29:32] method one more method let me just save,,,
[29:34] this,,,
[29:36] okay fine let me Define one more method,,,
[29:39] so DF a log uh,,,
[29:44] intake so it will take the user,,,
[29:47] ID and uh intake,,,
[29:50] ml okay intake ML and here so let me,,,
[29:55] just Define the same thing that is a,,,
[29:56] connection equals to to uh sqlite 3.,,,
[30:00] connect so connect to the database that,,,
[30:04] is the TB name which have defined uh,,,
[30:06] then uh the connection cursor,,,
[30:10] Cu uh c r s cursor so they will take,,,
[30:14] that,,,
[30:15] connection do,,,
[30:19] cursor,,,
[30:23] cursor okay and here uh the log intake,,,
[30:26] okay so here we basically uh saving the,,,
[30:29] information about uh the user ID and uh,,,
[30:33] the amount of water they are uh uh,,,
[30:36] intake okay the intake amount okay,,,
[30:38] intake um uh how much how much of water,,,
[30:41] they have intake okay so we we are just,,,
[30:43] taking that information so here for that,,,
[30:45] we need uh the information about the,,,
[30:47] date also I'll type here date,,,
[30:50] today uh date today so I'll take this,,,
[30:53] date time uh dot today Dot today and so,,,
[30:59] we'll have the format let me just,,,
[31:01] convert that into St,,,
[31:03] Str,,,
[31:04] frame okay and the format for this will,,,
[31:08] be percentage,,,
[31:11] year uh it's year month and day,,,
[31:15] year uh,,,
[31:17] month and percentage,,,
[31:24] day all right so next uh C us er.,,,
[31:30] execute execute uh so here let's do the,,,
[31:34] insert,,,
[31:40] into insert into insert into the table,,,
[31:43] which we have created that is a water,,,
[31:46] intake water intake and here I want to,,,
[31:49] do the insert for user,,,
[31:51] ID and uh intake,,,
[31:56] ml intake _ ML and the date and the date,,,
[32:02] and what are the values so values let me,,,
[32:04] just set so values so here right now,,,
